Title,Description,Details,Filename,Preliminary assessment: Potentially relevant?,Reviewer,Final inclusion?,Type of PC,Arm,Number of point estimates per outcome,Dichotomisation threshold(s) (%),Number of patients assumed in computing point estimate,Number of responses for point estimate,Exact point estimate(s) (%),95% confidence interval(s) reported,Reported confidence interval(s) (%),Number of bars clipped,Clip point (%)
Docetaxel with or without estramustine for estramustine refractory castration-resistant prostate cancer: a single institution experience.,"Nakano K, Ohta S, Komatsu K, Kubo T, Nukui A, Suzuki K, Kurokawa S, Kobayashi M, Morita T.",BMC Urology. 2012 Feb 22; 12: 3,,Yes,JW,No,,,,,,,,,,,
Antitumour activity of abiraterone and diethylstilboestrol when administered sequentially to men with castration-resistant prostate cancer.,"Omlin A, J Pezaro C, Zaidi S, Lorente D, Mukherji D, Bianchini D, Ferraldeschi R, Sandhu S, Dearnaley D, Parker C, Van As N, de Bono JS, Attard G.",British Journal of Cancer. 2013 Aug 8; 109(5): 1079-1084,,Yes,JW,No,,,,,,,,,,,
Docetaxel Treatment in PTEN- and ERG-aberrant Metastatic Prostate Cancers.,"Rescigno P, Lorente D, Dolling D, Ferraldeschi R, Rodrigues DN, Riisnaes R, Miranda S, Bianchini D, Zafeiriou Z, Sideris S, Ferreira A, Figueiredo I, Sumanasuriya S, Mateo J, Perez-Lopez R, Sharp A, Tunariu N, de Bono JS.",European Urology Oncology. 2018 May; 1(1): 71-77,,Yes,JW,No,,,,,,,,,,,
225Ac-PSMA-617 in chemotherapy-naive patients with advanced prostate cancer: a pilot study.,"Sathekge M, Bruchertseifer F, Knoesen O, Reyneke F, Lawal I, Lengana T, Davis C, Mahapane J, Corbett C, Vorster M, Morgenstern A.",European Journal of Nuclear Medicine and Molecular Imaging. 2018 Sep 19; 46(1): 129-138,,Yes,JW,No,,,,,,,,,,,
Nuclear-specific AR-V7 Protein Localization is Necessary to Guide Treatment Selection in Metastatic Castration-resistant Prostate Cancer.,"Scher HI, Graf RP, Schreiber NA, McLaughlin B, Lu D, Louw J, Danila DC, Dugan L, Johnson A, Heller G, Fleisher M, Dittamore R.",European urology. 2016 Dec 12; 71(6): 874-882,,Yes,JW,No,,,,,,,,,,,
The Influence of Prior Abiraterone Treatment on the Clinical Activity of Docetaxel in Men with Metastatic Castration-resistant Prostate Cancer.,"Schweizer MT, Zhou XC, Wang H, Bassi S, Carducci MA, Eisenberger MA, Antonarakis ES.",European urology. 2014 Jan 24; 66(4): 646-652,,Yes,JW,No,,,,,,,,,,,
Association of Missense Polymorphism in HSD3B1 With Outcomes Among Men With Prostate Cancer Treated With Androgen-Deprivation Therapy or Abiraterone.,"Shiota M, Narita S, Akamatsu S, Fujimoto N, Sumiyoshi T, Fujiwara M, Uchiumi T, Habuchi T, Ogawa O, Eto M.",JAMA Network Open. 2019 Feb 22; 2(2): e190115,,Yes,JW,No,,,,,,,,,,,
Immunohistochemical staining of ERG and SOX9 as potential biomarkers of docetaxel response in patients with metastatic castration-resistant prostate cancer.,"Song W, Kwon GY, Kim JH, Lim JE, Jeon HG, Il Seo S, Jeon SS, Choi HY, Jeong BC, Lee HM.",Oncotarget. 2016 Nov 16; 7(50): 83735-83743,,Yes,JW,No,,,,,,,,,,,
Clinical activity of enzalutamide versus docetaxel in men with castration-resistant prostate cancer progressing after abiraterone.,"Suzman DL, Luber B, Schweizer MT, Nadal R, Antonarakis ES.",The Prostate. 2014 Jul 22; 74(13): 1278-1285,,Yes,JW,No,,,,,,,,,,,
Pembrolizumab in men with heavily treated metastatic castrate‐resistant prostate cancer.,"Tucker MD, Zhu J, Marin D, Gupta RT, Gupta S, Berry WR, Ramalingam S, Zhang T, Harrison M, Wu Y, Healy P, Lisi S, George DJ, Armstrong AJ.",Cancer Medicine. 2019 Jul 3; 8(10): 4644-4655,,Yes,JW,No,,,,,,,,,,,
Prognostic factors and risk stratification in patients with castration-resistant prostate cancer receiving docetaxel-based chemotherapy.,"Yamashita S, Kohjimoto Y, Iguchi T, Koike H, Kusumoto H, Iba A, Kikkawa K, Kodama Y, Matsumura N, Hara I.",BMC Urology. 2016 Mar 22; 16: 13,,Yes,JW,No,,,,,,,,,,,
"A phase 3, double-blind, randomized placebo-controlled efficacy and safety study of abiraterone acetate in chemotherapy-naïve patients with mCRPC in China, Malaysia, Thailand and Russia.","Ye D, Huang Y, Zhou F, Xie K, Matveev V, Li C, Alexeev B, Tian Y, Qiu M, Li H, Zhou T, De Porre P, Yu M, Naini V, Liang H, Wu Z, Sun Y.",Asian Journal of Urology. 2017 Jan 23; 4(2): 75-85,,Yes,JW,No,,,2,-50,"157,156",NR,,No,,"Hard to tell, but >=5",
A multicenter phase I/II study of enzalutamide in Japanese patients with castration-resistant prostate cancer.,"Akaza H, Uemura H, Tsukamoto T, Ozono S, Ogawa O, Sakai H, Oya M, Namiki M, Fukasawa S, Yamaguchi A, Uemura H, Ohashi Y, Maeda H, Saito A, Takeda K, Naito S.",International Journal of Clinical Oncology. 2016 Jan 21; 21: 773-782,Akaza (2016) International Journal of Clinical Oncology,Yes,MG,Yes,CRPC,1,1,-50,38,11,28.94736842,Yes,"(15.4,45.9)",0,
A phase II study of sulforaphane-rich broccoli sprout extracts in men with recurrent prostate cancer.,"Alumkal JJ, Slottke R, Schwartzman J, Cherala G, Munar M, Graff JN, Beer TM, Ryan CW, Koop DR, Gibbs A, Gao L, Flamiatos JF, Tucker E, Kleinschmidt R, Mori M.",Investigational new drugs. 2014 Nov 29; 33(2): 480-489,Alumkal (2014) Investigational New Drugs,Yes,MG,Yes,Recurrent PC,1,1,-50,20,1,5,Yes,"(0,15)",0,
"Safety and Preliminary Efficacy Analysis of the mTOR Inhibitor Ridaforolimus in Patients With Taxane-Treated, Castration-Resistant Prostate Cancer.","Amato RJ, Wilding G, Bubley G, Loewy J, Haluska F, Gross ME.",Clinical genitourinary cancer. 2012 Jun 12; 10(4): 232-238,Amato (2012) Clinical Genitourinary Cancer,Yes,MG,Yes,mCRPC,1,1,-50,38,0,0,No,,0,
Androgen Receptor Splice Variant 7 and Efficacy of Taxane Chemotherapy in Patients With Metastatic Castration-Resistant Prostate Cancer.,"Antonarakis ES, Lu C, Luber B, Wang H, Chen Y, Nakazawa M, Nadal R, Paller CJ, Denmeade SR, Carducci MA, Eisenberger MA, Luo J.",JAMA oncology. 2015 Aug 1; 1(5): 582-591,Antonarakis (2015) JAMA Oncology,Yes,MG,Yes,mCRPC,1,2,-50,20,13,65,Yes,"(41,85)",0,
Androgen Receptor Splice Variant 7 and Efficacy of Taxane Chemotherapy in Patients With Metastatic Castration-Resistant Prostate Cancer.,"Antonarakis ES, Lu C, Luber B, Wang H, Chen Y, Nakazawa M, Nadal R, Paller CJ, Denmeade SR, Carducci MA, Eisenberger MA, Luo J.",JAMA oncology. 2015 Aug 1; 1(5): 582-591,Antonarakis (2015) JAMA Oncology,Yes,MG,Yes,mCRPC,2,2,-50,17,7,41.17647059,Yes,"(18,67)",0,
Dasatinib Combined With Docetaxel For Castration-Resistant Prostate Cancer: Results From a Phase 1/2 Study.,"Araujo JC, Mathew P, Armstrong AJ, Braud EL, Posadas E, Lonberg M, Gallick GE, Trudel GC, Paliwal P, Agrawal S, Logothetis CJ.",Cancer. 2011 Jul 25; 118(1): 63-71,Araujo (2011) Cancer,Yes,MG,Yes,mCRPC,1,1,-50,45,29,64.44444444,No,,0,
Selective Inhibition of CYP17 With Abiraterone Acetate Is Highly Active in the Treatment of Castration-Resistant Prostate Cancer.,"Attard G, Reid AH, A’Hern R, Parker C, Oommen NB, Folkerd E, Messiou C, Molife LR, Maier G, Thompson E, Olmos D, Sinha R, Lee G, Dowsett M, Kaye SB, Dearnaley D, Kheoh T, Molina A, de Bono JS.",Journal of clinical oncology : official journal of the American Society of Clinical Oncology. 2009 May 26; 27(23): 3742-3748,Attard (2009) Journal of Clinical Oncology,Yes,MG,Yes,CRPC,1,1,-50,42,28,66.66666667,No,,9,25
"First-in-human Phase I study of EZN-4176, a locked nucleic acid antisense oligonucleotide to exon 4 of the androgen receptor mRNA in patients with castration-resistant prostate cancer.","Bianchini D, Omlin A, Pezaro C, Lorente D, Ferraldeschi R, Mukherji D, Crespo M, Figueiredo I, Miranda S, Riisnaes R, Zivi A, Buchbinder A, Rathkopf DE, Attard G, Scher HI, de Bono J, Danila DC.",British Journal of Cancer. 2013 Oct 29; 109(10): 2579-2586,Bianchini (2013) British Journal of Cancer,Yes,MG,Yes,mCRPC,1,1,-50,11,1,9.090909091,No,,3,100
Phase I pharmacokinetic and biodistribution study with escalating doses of 223Ra-dichloride in men with castration-resistant metastatic prostate cancer.,"Carrasquillo JA, O’Donoghue JA, Pandit-Taskar N, Humm JL, Rathkopf DE, Slovin SF, Williamson MJ, Lacuna K, Aksnes AK, Larson SM, Scher HI, Morris MJ.",European journal of nuclear medicine and molecular imaging. 2013 May 8; 40(9): 1384-1393,Carrasquillo (2013) European Journal of Nuclear Medicine and Molecular Imaging,Yes,MG,Yes,mCRPC,1,1,0,10,5,50,No,,0,
Circulating Tumor Cell–Based Molecular Classifier for Predicting Resistance to Abiraterone and Enzalutamide in Metastatic Castration-Resistant Prostate Cancer.,"Chung JS, Wang Y, Henderson J, Singhal U, Qiao Y, Zaslavsky AB, Hovelson DH, Spratt DE, Reichert Z, Palapattu GS, Taichman RS, Tomlins SA, Morgan TM.","Neoplasia (New York, N.Y.). 2019 Jul 2; 21(8): 802-809",Chung (2019) Neoplasia,Yes,MG,Yes,mCRPC,1,1,-50,20,5,25,No,,0,
"Open-label, phase I dose-escalation study of sodium selenate, a novel activator of PP2A, in patients with castration-resistant prostate cancer.","Corcoran NM, Hovens CM, Michael M, Rosenthal MA, Costello AJ.",British Journal of Cancer. 2010 Jul 20; 103(4): 462-468,Corcoran (2010) British Journal of Cancer,Yes,MG,Yes,CRPC,1,1,-50,18,1,5.555555556,No,,0,
A Phase I Study of Everolimus and Docetaxel in Patients With Castration-Resistant Prostate Cancer.,"Courtney KD, Manola JB, Elfiky AA, Ross R, Oh WK, Yap JT, Van den Abbeele AD, Ryan CW, Beer TM, Loda M, Priolo C, Kantoff P, Taplin ME.",Clinical genitourinary cancer. 2014 Oct 22; 13(2): 113-123,Courtney (2014) Clinical Genitourinary Cancer,Yes,MG,Yes,mCRPC,1,1,-50,12,5,41.66666667,No,,0,
Subsequent Chemotherapy and Treatment Patterns After Abiraterone Acetate in Patients with Metastatic Castration-resistant Prostate Cancer: Post Hoc Analysis of COU-AA-302.,"de Bono JS, Smith MR, Saad F, Rathkopf DE, Mulders PF, Small EJ, Shore ND, Fizazi K, De Porre P, Kheoh T, Li J, Todd MB, Ryan CJ, Flaig TW.",European urology. 2016 Jul 9; 71(4): 656-664,de Bono (2016) European Urology,Yes,MG,Yes,mCRPC,1,1,-50,100,40,40,No,,0,
A Phase II Trial of a Combination Herbal Supplement for Men with Biochemically Recurrent Prostate Cancer.,"Dorff TB, Groshen S, Tsao-Wei DD, Xiong S, Gross ME, Vogelzang N, Quinn DI, Pinski JK.",Prostate cancer and prostatic diseases. 2014 Sep 23; 17(4): 359-365,Dorff (2014) Prostate Cancer and Prostatic Diseases,Yes,MG,Yes,Recurrent PC,1,1,0,39,15,38.46153846,No,,0,
Phase I study of intraprostatic vaccine administration in men with locally recurrent or progressive prostate cancer.,"Gulley JL, Heery CR, Madan RA, Walter BA, Merino MJ, Dahut WL, Tsang KY, Schlom J, Pinto PA.","Cancer immunology, immunotherapy : CII. 2013 Jul 9; 62(9): 1521-1531","Gulley (2013) Cancer Immunology, Immunotherapy",Yes,MG,Yes,PC,1,1,-30,13,3,23.07692308,No,,0,
Activity of durvalumab plus olaparib in metastatic castration-resistant prostate cancer in men with and without DNA damage repair mutations.,"Karzai F, VanderWeele D, Madan RA, Owens H, Cordes LM, Hankin A, Couvillon A, Nichols E, Bilusic M, Beshiri ML, Kelly K, Krishnasamy V, Lee S, Lee MJ, Yuno A, Trepel JB, Merino MJ, Dittamore R, Marté J, Donahue RN, Schlom J, Killian KJ, Meltzer PS, Steinberg SM, Gulley JL, Lee JM, Dahut WL.",Journal for Immunotherapy of Cancer. 2018 Dec 4; 6: 141,Karzai (2018) Journal for Immunotherapy of Cancer,Yes,MG,Yes,mCRPC,1,1,-50,17,8,47.05882353,No,,0,
Sequential use of the androgen synthesis inhibitors ketoconazole and abiraterone acetate in castration-resistant prostate cancer and the predictive value of circulating androgens.,"Kim W, Zhang L, Wilton JH, Fetterly G, Mohler JL, Weinberg V, Morse A, Szmulewitz R, Friedlander TW, Fong L, Lin AM, Harzstark A, Molina A, Small EJ, Ryan CJ.",Clinical cancer research : an official journal of the American Association for Cancer Research. 2014 Oct 21; 20(24): 6269-6276,Kim (2014) Clinical Cancer Research,Yes,MG,Yes,mCRPC,1,1,-30,36,20,55.55555556,Yes,"(36,66)",5,100
A phase II trial of abiraterone combined with dutasteride for men with metastatic castration-resistant prostate cancer.,"McKay RR, Werner L, Mostaghel EA, Lis R, Voznesensky O, Zhang Z, Marck BT, Matsumoto AM, Domachevsky L, Zukotynski KA, Bhasin M, Bubley GJ, Montgomery B, Kantoff PW, Balk SP, Taplin ME.",Clinical cancer research : an official journal of the American Association for Cancer Research. 2016 Sep 28; 23(4): 935-945,McKay (2016) Clinical Cancer Research,Yes,MG,Yes,mCRPC,1,1,-50,40,24,60,No,,0,
Weekly ascorbic acid infusion in castration-resistant prostate cancer patients: a single-arm phase II trial.,"Nielsen TK, Højgaard M, Andersen JT, Jørgensen NR, Zerahn B, Kristensen B, Henriksen T, Lykkesfeldt J, Mikines KJ, Poulsen HE.",Translational Andrology and Urology. 2017 Jun; 6(3): 517-528,Nielsen (2017) Translational Andrology and Urology,Yes,MG,Yes,mCRPC,1,1,-50,20,0,0,No,,6,100
"Phase II Trial of Bevacizumab, Thalidomide, Docetaxel, and Prednisone in Patients With Metastatic Castration-Resistant Prostate Cancer.","Ning YM, Gulley JL, Arlen PM, Woo S, Steinberg SM, Wright JJ, Parnes HL, Trepel JB, Lee MJ, Kim YS, Sun H, Madan RA, Latham L, Jones E, Chen CC, Figg WD, Dahut WL.",Journal of Clinical Oncology. 2010 Mar 22; 28(12): 2070-2076,Ning (2010) Journal of Clinical Oncology,Yes,MG,Yes,mCRPC,1,1,-50,58,52,89.65517241,Yes,"(78.8,96.1)",2,60
Safety and Antitumor Activity of Apalutamide (ARN-509) in Metastatic Castration-Resistant Prostate Cancer Patients with and without Prior Abiraterone Acetate and Prednisone.,"Rathkopf DE, Antonarakis ES, Shore ND, Tutrone RF, Alumkal JJ, Ryan CJ, Saleh M, Hauke RJ, Bandekar R, Maneval EC, de Boer CJ, Yu MK, Scher HI.",Clinical cancer research : an official journal of the American Association for Cancer Research. 2017 Feb 17; 23(14): 3544-3551,Rathkopf (2017) Clinical Cancer Research,Yes,MG,Yes,mCRPC,1,2,-50,25,22,88,Yes,"(69,97)",0,
Safety and Antitumor Activity of Apalutamide (ARN-509) in Metastatic Castration-Resistant Prostate Cancer Patients with and without Prior Abiraterone Acetate and Prednisone.,"Rathkopf DE, Antonarakis ES, Shore ND, Tutrone RF, Alumkal JJ, Ryan CJ, Saleh M, Hauke RJ, Bandekar R, Maneval EC, de Boer CJ, Yu MK, Scher HI.",Clinical cancer research : an official journal of the American Association for Cancer Research. 2017 Feb 17; 23(14): 3544-3551,Rathkopf (2017) Clinical Cancer Research,Yes,MG,Yes,mCRPC,2,2,-50,18,4,22.22222222,Yes,"(6,48)",0,
"Significant and Sustained Antitumor Activity in Post-Docetaxel, Castration-Resistant Prostate Cancer With the CYP17 Inhibitor Abiraterone Acetate.","Reid AH, Attard G, Danila DC, Oommen NB, Olmos D, Fong PC, Molife LR, Hunt J, Messiou C, Parker C, Dearnaley D, Swennenhuis JF, Terstappen LW, Lee G, Kheoh T, Molina A, Ryan CJ, Small E, Scher HI, de Bono JS.",Journal of Clinical Oncology. 2010 Feb 16; 28(9): 1489-1495,Reid (2010) Journal of Clinical Oncology,Yes,MG,Yes,CRPC,1,1,-50,47,24,51.06382979,No,,0,
Phase II pilot study of the prednisone to dexamethasone switch in metastatic castration-resistant prostate cancer (mCRPC) patients with limited progression on abiraterone plus prednisone (SWITCH study).,"Romero-Laorden N, Lozano R, Jayaram A, López-Campos F, Saez MI, Montesa A, Gutierrez-Pecharoman A, Villatoro R, Herrera B, Correa R, Rosero A, Pacheco MI, Garcés T, Cendón Y, Nombela MP, Van de Poll F, Grau G, Rivera L, López PP, Cruz JJ, Lorente D, Attard G, Castro E, Olmos D.",British Journal of Cancer. 2018 Aug 21; 119(9): 1052-1059,Romero-Laorden (2018) British Journal of Cancer,Yes,MG,Yes,mCRPC,1,1,-50,26,8,30.76923077,No,,1,100
Phase II Study of Neoadjuvant Chemotherapy with Docetaxel and Bevacizumab in Patients with High-Risk Localized Prostate Cancer: A Prostate Cancer Clinical Trials Consortium Trial.,"Ross RW, Galsky MD, Febbo P, Barry M, Richie JP, Xie W, Fennessy FM, Bhatt R, Hayes J, Choueiri TK, Tempany CM, Taplin ME, Oh WK.",Cancer. 2012 Jan 26; 118(19): 4777-4784,Ross (2012) Cancer,Yes,MG,Yes,Localised PC,1,1,-50,41,9,21.95121951,Yes,"(11,38)",0,
"Efficacy, quality of life, and safety of cabazitaxel in Canadian metastatic castration-resistant prostate cancer patients treated or not with prior abiraterone.","Saad F, Winquist E, Hubay S, Berry S, Assi H, Levesque E, Aucoin N, Czaykowski P, Lattouf JB, Alloul K, Stewart J, Sridhar SS.",Canadian Urological Association Journal. 2016 Mar-Apr; 10(3-4): 102-109,Saad (2016) Canadian Urological Association Journal,Yes,MG,Yes,mCRPC,1,2,-50,33,14,42.42424242,No,,2,50
"Efficacy, quality of life, and safety of cabazitaxel in Canadian metastatic castration-resistant prostate cancer patients treated or not with prior abiraterone.","Saad F, Winquist E, Hubay S, Berry S, Assi H, Levesque E, Aucoin N, Czaykowski P, Lattouf JB, Alloul K, Stewart J, Sridhar SS.",Canadian Urological Association Journal. 2016 Mar-Apr; 10(3-4): 102-109,Saad (2016) Canadian Urological Association Journal,Yes,MG,Yes,mCRPC,2,2,-50,20,10,50,No,,0,
"Re-treatment with radium-223: first experience from an international, open-label, phase I/II study in patients with castration-resistant prostate cancer and bone metastases.","Sartor O, Heinrich D, Mariados N, Méndez Vidal MJ, Keizman D, Thellenberg Karlsson C, Peer A, Procopio G, Frank SJ, Pulkkanen K, Rosenbaum E, Severi S, Trigo Perez JM, Wagner V, Li R, Nordquist LT.",Annals of Oncology. 2017 Jul 18; 28(10): 2464-2471,Sartor (2017) Annals of Oncology,Yes,MG,Yes,CRPC,1,1,-30,42,4,9.523809524,No,,0,
Antitumour activity of MDV3100 in castration-resistant prostate cancer: a phase 1-2 study.,"Scher HI, Beer TM, Higano CS, Anand A, Taplin ME, Efstathiou E, Rathkopf D, Shelkey J, Yu EY, Alumkal J, Hung D, Hirmand M, Seely L, Morris MJ, Danila DC, Humm J, Larson S, Fleisher M, Sawyers CL, Prostate Cancer Foundation/Department of Defense Prostate Cancer Clinical Trials Consortium.",Lancet. 2010 Apr 14; 375(9724): 1437-1446,Scher (2010) Lancet,Yes,MG,Yes,mCRPC,1,2,-50,64,40,62.5,Yes,"(47,73)",0,
Antitumour activity of MDV3100 in castration-resistant prostate cancer: a phase 1-2 study.,"Scher HI, Beer TM, Higano CS, Anand A, Taplin ME, Efstathiou E, Rathkopf D, Shelkey J, Yu EY, Alumkal J, Hung D, Hirmand M, Seely L, Morris MJ, Danila DC, Humm J, Larson S, Fleisher M, Sawyers CL, Prostate Cancer Foundation/Department of Defense Prostate Cancer Clinical Trials Consortium.",Lancet. 2010 Apr 14; 375(9724): 1437-1446,Scher (2010) Lancet,Yes,MG,Yes,mCRPC,2,2,-50,74,36,48.64864865,Yes,"(39,62)",0,
A Phase II Clinical Trial of Oral Valproic Acid in Patients with Castration-Resistant Prostate Cancers Using an Intensive Biomarker Sampling Strategy.,"Sharma S, Symanowski J, Wong B, Dino P, Manno P, Vogelzang N.",Translational Oncology. 2008 Sep; 1(3): 141-147,Sharma (2008) Translational Oncology,Yes,MG,Yes,CRPC,1,1,-50,10,2,20,No,,0,
HLA-restricted NY-ESO-1 peptide immunotherapy for metastatic castration resistant prostate cancer.,"Sonpavde G, Wang M, Peterson LE, Wang HY, Joe T, Mims MP, Kadmon D, Ittmann MM, Wheeler TM, Gee AP, Wang RF, Hayes TG.",Investigational new drugs. 2013 Apr 23; 32(2): 235-242,Sonpavde (2013) Investigational New Drugs,Yes,MG,Yes,mCRPC,1,1,0,9,2,22.22222222,No,,4,100
Phase II study of lutetium-177 labeled anti-prostate-specific membrane antigen (PSMA) monoclonal antibody J591 for metastatic castration-resistant prostate cancer.,"Tagawa ST, Milowsky MI, Morris M, Vallabhajosula S, Christos P, Akhtar NH, Osborne J, Goldsmith SJ, Larson S, Taskar NP, Scher HI, Bander NH, Nanus DM.",Clinical cancer research : an official journal of the American Association for Cancer Research. 2013 May 28; 19(18): 5182-5191,Tagawa (2013) Clinical Cancer Research,Yes,MG,Yes,mCRPC,1,2,-50,15,1,6.666666667,No,,1,100
Phase II study of lutetium-177 labeled anti-prostate-specific membrane antigen (PSMA) monoclonal antibody J591 for metastatic castration-resistant prostate cancer.,"Tagawa ST, Milowsky MI, Morris M, Vallabhajosula S, Christos P, Akhtar NH, Osborne J, Goldsmith SJ, Larson S, Taskar NP, Scher HI, Bander NH, Nanus DM.",Clinical cancer research : an official journal of the American Association for Cancer Research. 2013 May 28; 19(18): 5182-5191,Tagawa (2013) Clinical Cancer Research,Yes,MG,Yes,mCRPC,2,2,-50,32,4,12.5,No,,1,100
Genetic Alterations Detected in Cell-Free DNA Are Associated With Enzalutamide and Abiraterone Resistance in Castration-Resistant Prostate Cancer.,"Torquato S, Pallavajjala A, Goldstein A, Toro PV, Silberstein JL, Lee J, Nakazawa M, Waters I, Chu D, Shinn D, Groginski T, Hughes RM, Simons BW, Khan H, Feng Z, Carducci MA, Paller CJ, Denmeade SR, Kressel B, Eisenberger MA, Antonarakis ES, Trock BJ, Park BH, Hurley PJ.",JCO precision oncology. 2019 Apr 3; 3: 10.1200/PO.18.00227,Torquato (2019) JCO Precision Oncology,Yes,MG,Yes,mCRPC,1,1,-50,62,35,56.4516129,No,,6,100
Development of a Second-Generation Antiandrogen for Treatment of Advanced Prostate Cancer.,"Tran C, Ouk S, Clegg NJ, Chen Y, Watson PA, Arora V, Wongvipat J, Smith-Jones PM, Yoo D, Kwon A, Wasielewska T, Welsbie D, Chen C, Higano CS, Beer TM, Hung DT, Scher HI, Jung M, Sawyers CL.","Science (New York, N.Y.). 2009 Apr 9; 324(5928): 787-790",Tran (2009) Science,Yes,MG,Yes,CRPC,1,1,-50,29,13,44.82758621,No,,0,
Therapeutic response and side effects of repeated radioligand therapy with 177Lu-PSMA-DKFZ-617 of castrate-resistant metastatic prostate cancer.,"Ahmadzadehfar H, Eppard E, Kürpig S, Fimmers R, Yordanova A, Schlenkhoff CD, Gärtner F, Rogenhofer S, Essler M.",Oncotarget. 2016 Feb 8; 7(11): 12477-12488,,Yes,MG,No,,,,,,,,,,,
"Randomized, Noncomparative, Phase II Trial of Early Switch From Docetaxel to Cabazitaxel or Vice Versa, With Integrated Biomarker Analysis, in Men With Chemotherapy-Naïve, Metastatic, Castration-Resistant Prostate Cancer.","Antonarakis ES, Tagawa ST, Galletti G, Worroll D, Ballman K, Vanhuyse M, Sonpavde G, North S, Albany C, Tsao CK, Stewart J, Zaher A, Szatrowski T, Zhou W, Gjyrezi A, Tasaki S, Portella L, Bai Y, Lannin TB, Suri S, Gruber CN, Pratt ED, Kirby BJ, Eisenberger MA, Nanus DM, Saad F, Giannakakou P, on behalf of the TAXYNERGY Investigators.",Journal of Clinical Oncology. 2017 Jun 20; 35(28): 3181-3188,,Yes,MG,No,,,,,,,,,,,
Activity of enzalutamide in men with metastatic castration resistant prostate cancer is affected by prior treatment with abiraterone and/or docetaxel.,"Cheng HH, Gulati R, Azad A, Nadal R, Twardowski P, Vaishampayan UN, Agarwal N, Heath EI, Pal SK, Rehman HT, Leiter A, Batten JA, Montgomery RB, Galsky MD, Antonarakis ES, Chi KN, Yu EY.",Prostate cancer and prostatic diseases. 2015 Jan 20; 18(2): 122-127,,Yes,MG,No,,,,,,,,,,,
Safety and efficacy of abiraterone acetate in chemotherapy-naive patients with metastatic castration-resistant prostate cancer: an Italian multicenter “real life” study.,"Cindolo L, Natoli C, De Nunzio C, De Tursi M, Valeriani M, Giacinti S, Micali S, Rizzo M, Bianchi G, Martorana E, Scarcia M, Ludovico GM, Bove P, Laudisi A, Selvaggio O, Carrieri G, Bada M, Castellan P, Boccasile S, Ditonno P, Chiodini P, Verze P, Mirone V, Schips L.",BMC Cancer. 2017 Nov 10; 17: 753,,Yes,MG,No,,,,,,,,,,,
TP53 outperforms other androgen receptor biomarkers to predict abiraterone or enzalutamide outcome in metastatic castration-resistant prostate cancer.,"De Laere B, Oeyen S, Mayrhofer M, Whitington T, van Dam PJ, Van Oyen P, Ghysel C, Ampe J, Ost P, Demey W, Hoekx L, Schrijvers D, Brouwers B, Lybaert W, Everaert E, De Maeseneer D, Strijbos M, Bols A, Fransis K, Beije N, de Kruijff I, van Dam V, Brouwer A, Goossens D, Heyrman L, Van den Eynden G, Rutten A, Del Favero J, Rantalainen M, Rajan P, Sleijfer S, Ullén A, Yachnin J, Grönberg H, Van Laere S, Lindberg J, Dirix L.",Clinical cancer research : an official journal of the American Association for Cancer Research. 2018 Sep 12; 25(6): 1766-1773,,Yes,MG,No,,,,,,,,,,,
A Phase II Randomized Trial Of Lycopene-Rich Tomato Extract Among Men With High-Grade Prostatic Intraepithelial Neoplasia.,"Gann PH, Deaton RJ, Rueter EE, van Breemen RB, Nonn L, Macias V, Han M, Ananthanarayanan V.",Nutrition and cancer. 2015; 67(7): 1104-1112,,Yes,MG,No,,,,,,,,,,,
Comparison of Radiographic Progression-Free Survival and PSA Response on Sequential Treatment Using Abiraterone and Enzalutamide for Newly Diagnosed Castration-Resistant Prostate Cancer: A Propensity Score Matched Analysis from Multicenter Cohort.,"Komura K, Fujiwara Y, Uchimoto T, Saito K, Tanda N, Matsunaga T, Ichihashi A, Tsutsumi T, Tsujino T, Yoshikawa Y, Nishimoto Y, Takai T, Minami K, Taniguchi K, Tanaka T, Uehara H, Hirano H, Nomi H, Ibuki N, Takahara K, Inamoto T, Azuma H.",Journal of Clinical Medicine. 2019 Aug 19; 8(8): 1251,,Yes,MG,No,,,,,,,,,,,
Safety and efficacy of salvage low-dose-rate brachytherapy for prostate bed recurrences following radical prostatectomy.,"Kumar AM, Smith KL, Reddy CA, Stephans KL, Klein EA, Ciezki JP.",Journal of Contemporary Brachytherapy. 2015 Sep 14; 7(4): 241-246,,Yes,MG,No,,,,,,,,,,,
Clinical activity of enzalutamide in docetaxel-naïve and docetaxel-pretreated patients with metastatic castration-resistant prostate cancer.,"Nadal R, Zhang Z, Rahman H, Schweizer MT, Denmeade SR, Paller CJ, Carducci MA, Eisenberger MA, Antonarakis ES.",The Prostate. 2014 Aug 31; 74(15): 1560-1568,,Yes,MG,No,,,,,,,,,,,
A randomized phase II study of pomegranate extract for men with rising PSA following initial therapy for localized prostate cancer.,"Paller C, Ye X, Wozniak P, Gillespie B, Sieber P, Greengold R, Stockton B, Hertzman B, Efros M, Roper R, Liker H, Carducci M.",Prostate cancer and prostatic diseases. 2012 Jun 12; 16(1): 50-55,,Yes,MG,No,,,,,,,,,,,
